DATE,FEDFUNDS
7/1/54,0.8
8/1/54,1.22
9/1/54,1.07
10/1/54,0.85
11/1/54,0.83
12/1/54,1.28
1/1/55,1.39
2/1/55,1.29
3/1/55,1.35
4/1/55,1.43
5/1/55,1.43
6/1/55,1.64
7/1/55,1.68
8/1/55,1.96
9/1/55,2.18
10/1/55,2.24
11/1/55,2.35
12/1/55,2.48
1/1/56,2.45
2/1/56,2.5
3/1/56,2.5
4/1/56,2.62
5/1/56,2.75
6/1/56,2.71
7/1/56,2.75
8/1/56,2.73
9/1/56,2.95
10/1/56,2.96
11/1/56,2.88
12/1/56,2.94
1/1/57,2.84
2/1/57,3
3/1/57,2.96
4/1/57,3
5/1/57,3
6/1/57,3
7/1/57,2.99
8/1/57,3.24
9/1/57,3.47
10/1/57,3.5
11/1/57,3.28
12/1/57,2.98
1/1/58,2.72
2/1/58,1.67
3/1/58,1.2
4/1/58,1.26
5/1/58,0.63
6/1/58,0.93
7/1/58,0.68
8/1/58,1.53
9/1/58,1.76
10/1/58,1.8
11/1/58,2.27
12/1/58,2.42
1/1/59,2.48
2/1/59,2.43
3/1/59,2.8
4/1/59,2.96
5/1/59,2.9
6/1/59,3.39
7/1/59,3.47
8/1/59,3.5
9/1/59,3.76
10/1/59,3.98
11/1/59,4
12/1/59,3.99
1/1/60,3.99
2/1/60,3.97
3/1/60,3.84
4/1/60,3.92
5/1/60,3.85
6/1/60,3.32
7/1/60,3.23
8/1/60,2.98
9/1/60,2.6
10/1/60,2.47
11/1/60,2.44
12/1/60,1.98
1/1/61,1.45
2/1/61,2.54
3/1/61,2.02
4/1/61,1.49
5/1/61,1.98
6/1/61,1.73
7/1/61,1.17
8/1/61,2
9/1/61,1.88
10/1/61,2.26
11/1/61,2.61
12/1/61,2.33
1/1/62,2.15
2/1/62,2.37
3/1/62,2.85
4/1/62,2.78
5/1/62,2.36
6/1/62,2.68
7/1/62,2.71
8/1/62,2.93
9/1/62,2.9
10/1/62,2.9
11/1/62,2.94
12/1/62,2.93
1/1/63,2.92
2/1/63,3
3/1/63,2.98
4/1/63,2.9
5/1/63,3
6/1/63,2.99
7/1/63,3.02
8/1/63,3.49
9/1/63,3.48
10/1/63,3.5
11/1/63,3.48
12/1/63,3.38
1/1/64,3.48
2/1/64,3.48
3/1/64,3.43
4/1/64,3.47
5/1/64,3.5
6/1/64,3.5
7/1/64,3.42
8/1/64,3.5
9/1/64,3.45
10/1/64,3.36
11/1/64,3.52
12/1/64,3.85
1/1/65,3.9
2/1/65,3.98
3/1/65,4.05
4/1/65,4.09
5/1/65,4.1
6/1/65,4.05
7/1/65,4.09
8/1/65,4.12
9/1/65,4.02
10/1/65,4.08
11/1/65,4.1
12/1/65,4.32
1/1/66,4.42
2/1/66,4.6
3/1/66,4.66
4/1/66,4.67
5/1/66,4.9
6/1/66,5.17
7/1/66,5.3
8/1/66,5.53
9/1/66,5.4
10/1/66,5.53
11/1/66,5.76
12/1/66,5.4
1/1/67,4.94
2/1/67,5
3/1/67,4.53
4/1/67,4.05
5/1/67,3.94
6/1/67,3.98
7/1/67,3.79
8/1/67,3.9
9/1/67,3.99
10/1/67,3.88
11/1/67,4.13
12/1/67,4.51
1/1/68,4.61
2/1/68,4.71
3/1/68,5.05
4/1/68,5.76
5/1/68,6.12
6/1/68,6.07
7/1/68,6.03
8/1/68,6.03
9/1/68,5.78
10/1/68,5.91
11/1/68,5.82
12/1/68,6.02
1/1/69,6.3
2/1/69,6.61
3/1/69,6.79
4/1/69,7.41
5/1/69,8.67
6/1/69,8.9
7/1/69,8.61
8/1/69,9.19
9/1/69,9.15
10/1/69,9
11/1/69,8.85
12/1/69,8.97
1/1/70,8.98
2/1/70,8.98
3/1/70,7.76
4/1/70,8.1
5/1/70,7.95
6/1/70,7.61
7/1/70,7.21
8/1/70,6.62
9/1/70,6.29
10/1/70,6.2
11/1/70,5.6
12/1/70,4.9
1/1/71,4.14
2/1/71,3.72
3/1/71,3.71
4/1/71,4.16
5/1/71,4.63
6/1/71,4.91
7/1/71,5.31
8/1/71,5.57
9/1/71,5.55
10/1/71,5.2
11/1/71,4.91
12/1/71,4.14
1/1/72,3.51
2/1/72,3.3
