month_year,final_country,final_sub_region,final_received_usd,final_deposits
2019-03,Afghanistan,Southern Asia,487023.9753,313.1105264
2019-03,Albania,Southern Europe,14587775.35,7472.904147
2019-03,Algeria,Northern Africa,173142890.5,85154.27333
2019-03,Andorra,Southern Europe,1625188.589,679.262498
2019-03,Angola,Sub-Saharan Africa,3606122.167,2422.297768
2019-03,Argentina,Latin America and the Caribbean,489051901.6,299220.2102
2019-03,Armenia,Western Asia,29790660.68,17233.75949
2019-03,Australia,Australia and New Zealand,778479660.8,454789.4689
2019-03,Austria,Western Europe,310886017.8,160115.3185
2019-03,Azerbaijan,Western Asia,53412327.4,23118.0715
2019-03,Bahamas,Latin America and the Caribbean,5392821.277,2719.090748
2019-03,Bahrain,Western Asia,7816701.342,3749.804973
2019-03,Bangladesh,Southern Asia,89882031.7,49890.79386
2019-03,Barbados,Latin America and the Caribbean,7650668.656,3745.573647
2019-03,Belarus,Eastern Europe,235730225.8,164206.9894
2019-03,Belgium,Western Europe,542785017.5,194047.6313
2019-03,Benin,Sub-Saharan Africa,2839021.743,3132.314602
2019-03,"Bolivia, Plurinational State of",Latin America and the Caribbean,35833700.51,16344.56415
2019-03,Bosnia and Herzegovina,Southern Europe,33382165.92,15493.68784
2019-03,Botswana,Sub-Saharan Africa,1315979.35,1196.231109
2019-03,Brazil,Latin America and the Caribbean,2196920656,1030878.129
2019-03,Brunei Darussalam,South-eastern Asia,8285487.062,3152.216216
2019-03,Bulgaria,Eastern Europe,382651798.7,158219.1906
2019-03,Cambodia,South-eastern Asia,51565377.41,24057.98948
2019-03,Cameroon,Sub-Saharan Africa,9300026.81,7670.713413
2019-03,Canada,Northern America,1139821962,490722.7015
2019-03,Chile,Latin America and the Caribbean,332366181.7,143917.8896
2019-03,China,Eastern Asia,8998906918,3709422.11
2019-03,Colombia,Latin America and the Caribbean,236740410.9,156981.1484
2019-03,"Congo, the Democratic Republic of the",Sub-Saharan Africa,2080547.315,1513.606563
2019-03,Costa Rica,Latin America and the Caribbean,28759708,19875.56247
2019-03,Croatia,Southern Europe,184186251.5,68682.08605
2019-03,Cuba,Latin America and the Caribbean,4439679.301,2397.416258
2019-03,Cyprus,Western Asia,130328257.3,48606.63285
2019-03,Czech Republic,Eastern Europe,802036955.8,288008.3448
2019-03,Côte d'Ivoire,Sub-Saharan Africa,5583813.301,5869.094702
2019-03,Denmark,Northern Europe,171016963.2,66896.92579
2019-03,Dominican Republic,Latin America and the Caribbean,56032004.34,27671.26779
2019-03,Ecuador,Latin America and the Caribbean,76593794.42,37755.24572
2019-03,Egypt,Northern Africa,314312305.8,148449.1674
2019-03,El Salvador,Latin America and the Caribbean,15772464.34,7429.659524
2019-03,Estonia,Northern Europe,101732616.3,43626.06629
2019-03,Ethiopia,Sub-Saharan Africa,8390400.322,3658.674163
2019-03,Fiji,Melanesia,769520.3237,386.4949298
2019-03,Finland,Northern Europe,186551239.1,71439.61115
2019-03,France,Western Europe,1348421650,557221.3051
2019-03,French Polynesia,Polynesia,696778.4466,69.41611215
2019-03,Georgia,Western Asia,91822405.87,45366.64549
2019-03,Germany,Western Europe,1792929911,829005.4931
2019-03,Ghana,Sub-Saharan Africa,49351472.99,34815.11222
2019-03,Greece,Southern Europe,180283825.1,122958.3534
2019-03,Guadeloupe,Latin America and the Caribbean,1076291.857,1380.736245
2019-03,Guam,Micronesia,2386563.155,986.2222637
2019-03,Guatemala,Latin America and the Caribbean,21128649.08,9323.23649
2019-03,Haiti,Latin America and the Caribbean,3171477.449,1467.616405
2019-03,Honduras,Latin America and the Caribbean,4250285.025,2299.731208
2019-03,Hong Kong,Other,1292905992,461439.7489
2019-03,Hungary,Eastern Europe,239215256.7,121321.1065
2019-03,Iceland,Northern Europe,19594999.67,6487.154114
2019-03,India,Southern Asia,1564922074,739544.5757
2019-03,Indonesia,South-eastern Asia,578662761.2,506878.6511
2019-03,"Iran, Islamic Republic of",Southern Asia,120854329.6,103224.401
2019-03,Iraq,Western Asia,14370326.12,28606.49007
2019-03,Ireland,Northern Europe,246042826.8,101158.6304
2019-03,Israel,Western Asia,172986147.2,86717.87729
2019-03,Italy,Southern Europe,705146125.7,354091.4527
2019-03,Jamaica,Latin America and the Caribbean,13605462.73,6619.349024
2019-03,Japan,Eastern Asia,645944979.8,196563.6631
2019-03,Jersey,Northern Europe,42936052.09,13765.06443
2019-03,Jordan,Western Asia,50453058.35,20915.73016
2019-03,Kazakhstan,Central Asia,236846008.5,145913.063
2019-03,Kenya,Sub-Saharan Africa,32337744.84,18639.3052
2019-03,"Korea, Republic of",Eastern Asia,5000741338,1624133.982
2019-03,Kuwait,Western Asia,93158022.34,34355.12022
2019-03,Kyrgyzstan,Central Asia,18315864.22,21182.10727
2019-03,Lao People's Democratic Republic,South-eastern Asia,13036992.31,7533.19015
2019-03,Latvia,Northern Europe,345617303.8,153559.9392
2019-03,Lebanon,Western Asia,13664043.47,8181.665802
2019-03,Libya,Northern Africa,14807753.18,6392.661608
2019-03,Lithuania,Northern Europe,358151511.9,131404.2351
2019-03,Luxembourg,Western Europe,43171572.84,12340.88869
2019-03,Macao,Other,16399851.95,5623.259929
2019-03,"Macedonia, the former Yugoslav Republic of",Southern Europe,33591465.17,19113.85877
2019-03,Madagascar,Sub-Saharan Africa,1300463.726,1063.200493
2019-03,Malaysia,South-eastern Asia,296418522.7,150129.9673
2019-03,Maldives,Southern Asia,1737936.548,835.4865664
2019-03,Mali,Sub-Saharan Africa,109445.1524,126.7925661
2019-03,Malta,Southern Europe,43745002.55,32792.34988
2019-03,Martinique,Latin America and the Caribbean,1965145.042,1194.26931
2019-03,Mauritius,Sub-Saharan Africa,11093656.1,9063.867893
2019-03,Mexico,Latin America and the Caribbean,549893653.9,288602.9988
2019-03,"Moldova, Republic of",Eastern Europe,137014870.7,78421.90452
2019-03,Mongolia,Eastern Asia,58670080.35,26418.33578
2019-03,Montenegro,Southern Europe,16575322.89,6205.664338
2019-03,Morocco,Northern Africa,206746960.9,90556.82791
2019-03,Mozambique,Sub-Saharan Africa,2050660.937,1207.779936
2019-03,Myanmar,South-eastern Asia,6789425.698,5674.643978
2019-03,Namibia,Sub-Saharan Africa,3370335.115,1630.087347
2019-03,Nepal,Southern Asia,28619057.42,13437.86608
2019-03,Netherlands,Western Europe,1461813147,757698.1317
2019-03,New Caledonia,Melanesia,28930682.32,10053.93432
2019-03,New Zealand,Australia and New Zealand,114627143.1,52713.3987
2019-03,Nicaragua,Latin America and the Caribbean,5309214.169,5080.650661
2019-03,Nigeria,Sub-Saharan Africa,114887416.8,87432.4778
2019-03,Norway,Northern Europe,296505221.7,121987.2691
2019-03,Oman,Western Asia,10819771.6,4960.82491
2019-03,Pakistan,Southern Asia,259220228.6,125984.2168
2019-03,"Palestine, State of",Western Asia,27821623.39,13069.71347
2019-03,Panama,Latin America and the Caribbean,32022505.23,14303.80072
2019-03,Paraguay,Latin America and the Caribbean,7534763.824,5054.542197
2019-03,Peru,Latin America and the Caribbean,169555223.7,86402.0065
2019-03,Philippines,South-eastern Asia,423149819.5,456236.6361
2019-03,Poland,Eastern Europe,1070356972,441830.2831
2019-03,Portugal,Southern Europe,227608052.5,99840.77754
2019-03,Puerto Rico,Latin America and the Caribbean,8570556.923,7625.115485
2019-03,Qatar,Western Asia,65378158.18,24245.82974
2019-03,Romania,Eastern Europe,346593360.4,153309.6761
2019-03,Russian Federation,Eastern Europe,3934008419,2038168.787
2019-03,Rwanda,Sub-Saharan Africa,1219587.751,1150.237913
2019-03,Réunion,Sub-Saharan Africa,4691680.121,2721.756001
2019-03,Saudi Arabia,Western Asia,140616592.8,63981.27468
2019-03,Senegal,Sub-Saharan Africa,12011486.32,5048.770137
